"Postcode","Name","Line.1","Line.2","Town","County","lat","lng"
"PE21 7NF","Starbucks","Starbucks, The Quadrant ","Scott Drive, Wyberton ","Boston ","",NA,NA
"PE25 5RD","Trafalga Inn","101 St Leonards drive ","Chapel St Leonards","Skegness ","Lincolnshire ",NA,NA
"PH1 4RG","KFC","Dunkfield Road","","Perth","",NA,NA
"PH6 3LR","Bistro at comrie","Comrie golf club","Laggan braes","Comrie","Perthshire",NA,NA
"PR1 1DZ","Subway Tulketh Mill","Unit 4","Tulketh Mill, Blackpool Road","Preston","Lancashire",NA,NA
"RG23 9PY","More of the Good stuff","Stable block","Worting House","Basingstoke","Hampshire",NA,NA
"RG7 0NB","The Kingsley at Eversley","The Kingsley at Eversley","Reading Road","Eversley Centre","",NA,NA
"RM20 1ZF","Cafe Giardino - Lakeside","Unit 901b, Intu Lakeside","West Thurrock Way","West Thurrock","Essex",NA,NA
"S1 7PF","Mckays kitchen ","77","The moor market ","Sheffield ","",NA,NA
"S40 7EZ","Cara Restaurants Limited McDonalds 878","MCDONALDS","ALMA LEISURE PARK, DERBY ROAD","CHESTERFIELD","DERBYSHIRE",NA,NA
"SR3 8LW","The Broadway ","30A Wavendon Crescent","","Sunderland","",NA,NA
"SS1 5AE","Taco Bell","Unit 4 Food Court, ","Eastgate Shopping Centre,","Basildon,","Essex",NA,NA
"SW1 1EZ","Vagabond Wines Battersea","Unit 12 Circus Village West","Circus Road West, Phase 1","London","",NA,NA
"SW1 6DN","45 Jermyn St","45 Jermyn St. St. James's, ","","London","",NA,NA
"SW2 8PZ","McDonalds Streatham Place","2-22 Streatham Place","","London","",NA,NA
"SY13 9JT","ma bakers","ma bakers cafe","heath road","whitchurch","shropshire",NA,NA
"SY2 1PL","Cwpan Pinc","Cwpan Pinc","The Old Post Office, Llangadfan","Welshpool","Powys",NA,NA
"TA34 6DG","1176 Minehead McDonalds -  Lambtrad Ltd T/A McDonalds","McDonalds Restaurant","Vulcan Road","Minehead","",NA,NA
"TA6 0EB","Sedgemoor Inn ","Sedgemoor Inn ","19,Main Road ","Westonzoyland ","Somerset ",NA,NA
"TF4 9EJ","Hungersheath Tea Room","Hungersheath Tea Room","","Ashley","MARKET DRAYTON",NA,NA
"TR26 1GF","Yallah Coffee","Yallah Coffee","Wharf Road","St Ives","Cornwall",NA,NA
"TS1 6EA","Milligans Middlesbrough Limited","Unit 2","Newport Road","Middlesbrough","",NA,NA
"TS1 6EA","Milligans Middlesbrough","Unit 2","Newport Road","Middlesbrough","",NA,NA
"TS14 6RX","Subway","The Triangle, Woodhouse Services ","Middlesbrough Road","Guisborough","",NA,NA
"TS25 7SE","LilyAnne's Coffee Bar","LilyAnne's Coffee Bar","5 Victoria Road","Hartlepool","United Kingdom",NA,NA
"TW20 0YO","Langton's","Langton's","Coopers Hill Lane","Englefield Green","Surrey",NA,NA
"WC1A 4ES","Giotto Restaurant","52-54 New Oxford Street","","London","",NA,NA
"WE11 2ES","luna rossa restaurant","190-192","KENSINGTON PARK ROAD","LONDON","",NA,NA
"WF16 6JL","Fig & Olive","Redbrick","218 Bradford Road","Batley","",NA,NA
"Y07 4NJ","Olive Tree at Woodland Lakes Lodges","Woodland Lakes Lodges","Carlton Miniott","Thirsk","North Yorkshire",NA,NA
"Y08 6EN","Loftsome Bridge Boutique Hotel & Restaurant ","Station Road","","Wressle","North Yorkshire",NA,NA
"YO19 2TA","SPUDULIKE YORK","KIOSK F5, MCARTHURGLEN OUTLET","ST NICHOLAS AVENUE, FULFORD","YORK","",NA,NA
