"lat","lng","Address"
54.970984,-1.599307,"Gusto Italian, The Quayside, , Newcastle Upon Tyne, , NE1 3DX"
54.970984,-1.599307,"Malmaison Newcastle, 104 Quayside, , Newcastle Upon Tyne, , NE1 3DX"
54.969479,-1.608772,"Babucho, Tyne House, 26 Side, Newcastle upon Tyne, Tyne & Wear, NE1 3JA"
54.969479,-1.608772,"PRIMA NOVA LTD, 40-46, Side, Newcastle upon Tyne, Tyne & Wear, NE1 3JA"
54.96919,-1.608416,"ROUTE, 35 Side, , Newcastle upon Tyne, Tyne & Wear, NE1 3JE"
54.96919,-1.608416,"Simla Restaurant, 39 Side, , Newcastle upon Tyne, Tyne & Wear, NE1 3JE"
54.96919,-1.608416,"Bangrak Thai, 1-3 Side, , Newcastle Upon Tyne, , NE1 3JE"
54.968756,-1.608214,"THE REDHOUSE, 32-34, Sandhill, Newcastle upon Tyne, Tyne & Wear, NE1 3JF"
54.968756,-1.608214,"Rasika Indian Restaurant, 27 Sandhill, , Newcastle upon Tyne, Tyne and Wear, NE1 3JF"
54.967664,-1.614741,"deli central, Arch 9, Forth Street, Newcastle upon Tyne, Tyne & Wear, NE1 3NZ"
54.967882,-1.624001,"The Tipsy Cow , 85-89, Blandford Street, Newcastle upon Tyne, Tyne & Wear, NE1 3PZ"
54.967882,-1.624001,"The Geordie Stottie, 91-95, Blandford Street, Newcastle upon Tyne, Tyne & Wear, NE1 3PZ"
54.968318,-1.60833,"DH BENVENUTO LTD, Watergate Buildings 57-60, Sandhill, Newcastle upon Tyne, Tyne & Wear, NE1 3RG"
54.966961,-1.617634,"Crowne Plaza Newcastle - Hawthorns Restaurant, Stephenson House, Hawthorn Square, Newcastle upon Tyne, Tyne & Wear, NE1 3SA"
54.966748,-1.618292,"Sachins Restaraunt , Forth Banks, , Newcastle upon Tyne, Tyne & Wear, NE1 3SG"
54.966748,-1.618292,"MANTRA THAI LIMITED, 29 Forth Banks, , Newcastle upon Tyne, Tyne & Wear, NE1 3SG"
54.96941,-1.607848,"The Bridge Tavern, 7 Akenside Hill, , Newcastle upon Tyne, Tyne & Wear, NE1 3UF"
54.9693,-1.606928,"Dobson and Parnell, 19-21, Queen Street, Newcastle upon Tyne, Tyne & Wear, NE1 3UG"
54.9693,-1.606928,"URY RESTAURANT - NEWCASTLE  , 27 Queen Street, , Newcastle upon Tyne, Tyne & Wear, NE1 3UG"
54.9693,-1.606928,"Rani Indian Restaurant, Rani, 2 Queen Street, Quayside, Newcastle Upon Tyne, Tyne and Wear, NE1 3UG"
54.969533,-1.606288,"SABATINI, Sabatini, 25 King Street, Newcastle upon Tyne, Tyne & Wear, NE1 3UQ"
54.970276,-1.61948,"St Sushi Limited, 89 Westgate Road, , Newcastle upon Tyne, Tyne & Wear, NE1 4AE"
54.970588,-1.621539,"NUDO SUSHI BOX LTD , 147, NORTHUMBERLAND STREET, NEWCASTLE UPON TYNE, TYNE AND WEAR, NE1 4AG"
54.967603,-1.623801,"Lane7 Newcastle, 80-90, St. James Boulevard, Newcastle upon Tyne, Tyne & Wear, NE1 4BN"
54.969364,-1.62077,"THE SIAM ZAA THAI RESTAURANT, 4 Waterloo Street, , Newcastle upon Tyne, Tyne & Wear, NE1 4DG"
54.968694,-1.622104,"Akbar's Newcastle, Unit 1, City Quadrant, 11 Waterloo Square, Newcastle upon Tyne, Tyne & Wear, NE1 4DP"
54.967758,-1.622344,"Persia, 14 Marlborough Crescent, , Newcastle upon Tyne, Tyne & Wear, NE1 4EE"
54.968593,-1.621292,"Dixy Chicken, 20 Westmorland Road, , Newcastle upon Tyne, Tyne & Wear, NE1 4EG"
54.96868,-1.620682,"Wafi lounge and restaurnt , 48 Clayton Street West, , Newcastle upon Tyne, Tyne & Wear, NE1 4EX"
54.96868,-1.620682,"The Dog and Parrot, 52 Clayton Street West, , Newcastle upon Tyne, Tyne & Wear, NE1 4EX"
54.970172,-1.624196,"vegano, 33A Blandford Square, , Newcastle upon Tyne, Tyne & Wear, NE1 4HZ"
54.974997,-1.61753,"Soho Korean & Japanese Street Food, 14 Leazes Park Road, , Newcastle upon Tyne, Tyne & Wear, NE1 4PF"
54.974997,-1.61753,"NEW ERA (NE) LTD, 6-10, Leazes Park Road, Newcastle upon Tyne, Tyne & Wear, NE1 4PF"
54.974997,-1.61753,"El Coto, 21 Leazes Park Road, , Newcastle upon Tyne, Tyne & Wear, NE1 4PF"
54.975896,-1.618237,"Red mezze, 36 Leazes Park Road, , Newcastle upon Tyne, Tyne & Wear, NE1 4PG"
54.975896,-1.618237,"Bar Loco, Bar Loco, 22-24 Leazes Park Road, Newcastle upon Tyne, Tyne & Wear, NE1 4PG"
54.975531,-1.618821,"OAK COFFEE SHOP, BARKER & STONEHOUSE, LEAZES PARK ROAD, NEWCASTLE UPON TYNE, , NE1 4PQ"
54.973517,-1.621868,"Shark Club Gastro Bar, Gallowgate, , Newcastle upon Tyne, Tyne & Wear, NE1 4SD"
54.975152,-1.619041,"Infusion Newcastle Ltd, Unit 1, Strawberry Place, Newcastle upon Tyne, Tyne and wear, NE1 4SF"
54.973938,-1.618133,"La Yuan, 7-9, Gallowgate, Newcastle upon Tyne, Tyne & Wear, NE1 4SG"
54.973938,-1.618133,"Chicken Cottage, 43 Gallowgate, , Newcastle upon Tyne, Tyne & Wear, NE1 4SG"
54.973938,-1.618133,"New Canton Kitchen , 41-43 Gallowgate, , Newcastle Upon Tyne, Tyne and Wear, NE1 4SG"
54.973938,-1.618133,"Bealim House, 17-25, Gallowgate, Newcastle upon Tyne, Tyne & Wear, NE1 4SG"
54.970661,-1.619521,"Manjaros Newcastle, Manjaros, Cross Street, Newcastle, , NE1 4XE"
54.971804,-1.619388,"Blackfriars Restaurant, Blackfriars, , Newcastle upon Tyne, Tyne & Wear, NE1 4XN"
54.972595,-1.620143,"Red Diner, 38-42, Stowell Street, Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972595,-1.620143,"master restaurant, 44-50, Stowell Street, Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972595,-1.620143,"DOJO JAPANESE RESTAURANT, 26-28, Stowell Street, Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972595,-1.620143,"King Neptune restaurant, Parkside, 34 Stowell Street, Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972595,-1.620143,"AMAYSIA, 18 Stowell Street, , Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972595,-1.620143,"Spot White , Spot White, 14-18 Stowell Street, Newcastle upon Tyne, , NE1 4XQ"
54.972595,-1.620143,"SKYLICIOUS LIMITED, 14 Stowell Street, , Newcastle upon Tyne, Tyne & Wear, NE1 4XQ"
54.972228,-1.620133,"Landmark Oriental restaurant , Landmark Oriental, Q park , Stowell street , Newcastle upon tyne, , NE1 4YB"
54.972228,-1.620133,"Chinatown Express, 63-65 St. Andrew Street, , Newcastle upon Tyne, , NE1 4YB"
54.973298,-1.614593,"MOKASAN LTD, 7 Nelson Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5AN"
54.969396,-1.617408,"The Hudson, C/O The County Hotel, Neville Street, Newcastle , Tyne & Wear, NE1 5DF"
54.969396,-1.617408,"The Hudson, Neville Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5DF"
54.969396,-1.617408,"GUNNER TAVERN, Gunner House, Neville Street, Newcastle upon Tyne, Tyne & Wear, NE1 5DF"
54.968973,-1.61654,"Centurion Bar, Central Station Neville Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5DG"
54.969131,-1.615289,"Royal Station Hotel, Neville Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5DH"
54.968874,-1.617069,"Destination 1850, Destination 1850,Newcastle Central, Neville Street, Newcastle upon Tyne, Tyne & Wear, NE1 5DL"
54.969719,-1.616642,"CHICKALICIOUS , 17 Grainger Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5DQ"
54.969719,-1.616642,"Zapatista Burrito Bar, 9 Grainger Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5DQ"
54.969645,-1.618643,"pink lane coffee, 1 Pink Lane, , Newcastle upon Tyne, Tyne & Wear, NE1 5DW"
54.969146,-1.620116,"osmanli turkish  restaurant , 32 Clayton Street West, , Newcastle upon Tyne, Tyne & Wear, NE1 5DZ"
54.969637,-1.619158,"Latif Restaurant Limited, 1a Clarendon House, Clayton Street West, Newcastle upon Tyne, Tyne & Wear, NE1 5EE"
54.969521,-1.619222,"The Town Wall, Bewick Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5EF"
54.969634,-1.615938,"CENTRAL OVEN AND SHAKER, Central Oven and Shaker, 8 Neville Street, Newcastle upon Tyne, Tyne & Wear, NE1 5EN"
54.969634,-1.615938,"Newcastle Tap, Newcastle Tap, Baron House, 4 Neville Street, Newcastle upon Tyne, Tyne & Wear, NE1 5EN"
54.970856,-1.615895,"MARK TONEY, 53 Grainger Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5JE"
54.970856,-1.615895,"Super Natural Restaurant, Maybrook House, 27 Grainger Street, Newcastle upon Tyne, Tyne & Wear, NE1 5JE"
54.971683,-1.615249,"McDONALD'S 299, 85 Grainger Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5JF"
54.970943,-1.615128,"Yo Yo Noodle, 54-57, Grainger Street, Newcastle, , NE1 5JG"
54.971831,-1.614464,"Taco Bell, 84 Grainger Street, , Newcastle upon Tyne, Tyne & Wear, NE1 5JQ"
54.971831,-1.614464,"TJ Hughes Newcastle, 86-92, Grainger Street, Newcastle upon Tyne, Tyne & Wear, NE1 5JQ"
54.971001,-1.618489,"Kaspas Newcastle , 100-102, Clayton Street, Newcastle upon Tyne, Tyne & Wear, NE1 5PG"
54.972877,-1.615548,"olive and bean , 17-19 clayton street , 17-19 Clayton Street, Newcastle upon Tyne, Tyne & Wear, NE1 5PN"
54.971446,-1.617126,"My Delhi, 87A CLAYTON STREET, , NEWCASTLE UPON TYNE, , NE1 5PY"
